CODPROD;TIPO;FECHA;CANTIDAD
2053;VENTA;2023/1/27;2
2053;VENTA;2023/1/27;39
2022;VENTA;2023/1/28;23
2024;VENTA;2023/1/28;35
2032;VENTA;2023/1/28;44
2039;VENTA;2023/1/28;43
2040;VENTA;2023/1/28;49
2040;VENTA;2023/1/28;23
2042;VENTA;2023/1/28;42
2050;VENTA;2023/1/28;10
2054;VENTA;2023/1/28;17
2022;VENTA;2023/1/29;14
2029;VENTA;2023/1/29;7
2032;VENTA;2023/1/29;6
2035;VENTA;2023/1/29;12
2040;VENTA;2023/1/29;18
2041;VENTA;2023/1/29;6
2044;VENTA;2023/1/29;26
2046;VENTA;2023/1/29;45
2046;VENTA;2023/1/29;35
2051;VENTA;2023/1/29;18
2027;VENTA;2023/1/30;9
2029;VENTA;2023/1/30;47
2031;VENTA;2023/1/30;34
2032;VENTA;2023/1/30;23
2036;VENTA;2023/1/30;35
2038;VENTA;2023/1/30;46
2042;VENTA;2023/1/30;43
2045;VENTA;2023/1/30;3
2045;VENTA;2023/1/30;8
2045;VENTA;2023/1/30;9
2046;VENTA;2023/1/30;19
2048;VENTA;2023/1/30;6
2051;VENTA;2023/1/30;14
2051;VENTA;2023/1/30;17
2053;VENTA;2023/1/30;32
2026;VENTA;2023/1/31;4
2027;VENTA;2023/1/31;31
2030;VENTA;2023/1/31;44
2030;VENTA;2023/1/31;7
2035;VENTA;2023/1/31;2
2035;VENTA;2023/1/31;39
2035;VENTA;2023/1/31;46
2037;VENTA;2023/1/31;47
2039;VENTA;2023/1/31;39
2040;VENTA;2023/1/31;3
2042;VENTA;2023/1/31;9
2044;VENTA;2023/1/31;8
2046;VENTA;2023/1/31;27
2047;VENTA;2023/1/31;26
2051;VENTA;2023/1/31;8
2053;VENTA;2023/1/31;48
2025;VENTA;2023/2/1;39
2031;VENTA;2023/2/1;37
2032;VENTA;2023/2/1;54
2036;VENTA;2023/2/1;40
2044;VENTA;2023/2/1;5
2048;VENTA;2023/2/1;3
2052;VENTA;2023/2/1;2
2053;VENTA;2023/2/1;46
2053;VENTA;2023/2/1;37
2021;VENTA;2023/2/2;4
2021;VENTA;2023/2/2;13
2023;VENTA;2023/2/2;27
2023;VENTA;2023/2/2;17
2031;VENTA;2023/2/2;35
2033;VENTA;2023/2/2;25
2033;VENTA;2023/2/2;54
2034;VENTA;2023/2/2;15
2035;VENTA;2023/2/2;27
2036;VENTA;2023/2/2;46
2036;VENTA;2023/2/2;4
2036;VENTA;2023/2/2;26
2039;VENTA;2023/2/2;49
2042;VENTA;2023/2/2;16
2042;VENTA;2023/2/2;15
2045;VENTA;2023/2/2;39
2046;VENTA;2023/2/2;5
2047;VENTA;2023/2/2;18
2048;VENTA;2023/2/2;40
2049;VENTA;2023/2/2;17
2051;VENTA;2023/2/2;53
2051;VENTA;2023/2/2;39
2053;VENTA;2023/2/2;40
2054;VENTA;2023/2/2;21
2023;VENTA;2023/2/3;12
2024;VENTA;2023/2/3;49
2029;VENTA;2023/2/3;13
2034;VENTA;2023/2/3;40
2034;VENTA;2023/2/3;32
2037;VENTA;2023/2/3;54
2042;VENTA;2023/2/3;51
2044;VENTA;2023/2/3;41
2045;VENTA;2023/2/3;29
2047;VENTA;2023/2/3;39
2051;VENTA;2023/2/3;47
2051;VENTA;2023/2/3;35
2052;VENTA;2023/2/3;45
2052;VENTA;2023/2/3;26
2054;VENTA;2023/2/3;5
2024;VENTA;2023/2/4;35
2026;VENTA;2023/2/4;18
2032;VENTA;2023/2/4;18
2033;VENTA;2023/2/4;52
2035;VENTA;2023/2/4;30
2039;VENTA;2023/2/4;42
2041;VENTA;2023/2/4;2
2043;VENTA;2023/2/4;5
2049;VENTA;2023/2/4;44
2050;VENTA;2023/2/4;24
2050;VENTA;2023/2/4;25
2051;VENTA;2023/2/4;31
2053;VENTA;2023/2/4;13
2054;VENTA;2023/2/4;8
2022;VENTA;2023/2/5;15
2031;VENTA;2023/2/5;6
2031;VENTA;2023/2/5;19
2032;VENTA;2023/2/5;25
2032;VENTA;2023/2/5;21
2036;VENTA;2023/2/5;20
2040;VENTA;2023/2/5;6
2042;VENTA;2023/2/5;5
2043;VENTA;2023/2/5;46
2050;VENTA;2023/2/5;41
2050;VENTA;2023/2/5;18
2053;VENTA;2023/2/5;26
2022;VENTA;2023/2/6;36
2023;VENTA;2023/2/6;25
2027;VENTA;2023/2/6;15
2027;VENTA;2023/2/6;6
2028;VENTA;2023/2/6;35
2030;VENTA;2023/2/6;27
2031;VENTA;2023/2/6;26
2033;VENTA;2023/2/6;29
2034;VENTA;2023/2/6;10
2036;VENTA;2023/2/6;53
2036;VENTA;2023/2/6;51
2046;VENTA;2023/2/6;29
2047;VENTA;2023/2/6;17
2050;VENTA;2023/2/6;23
2054;VENTA;2023/2/6;53
2025;VENTA;2023/2/7;14
2029;VENTA;2023/2/7;38
2029;VENTA;2023/2/7;18
2031;VENTA;2023/2/7;53
2033;VENTA;2023/2/7;49
2039;VENTA;2023/2/7;5
2041;VENTA;2023/2/7;47
2043;VENTA;2023/2/7;17
2051;VENTA;2023/2/7;1
2052;VENTA;2023/2/7;23
2053;VENTA;2023/2/7;31
2053;VENTA;2023/2/7;44
2029;VENTA;2023/2/8;23
2029;VENTA;2023/2/8;28
2030;VENTA;2023/2/8;14
2032;VENTA;2023/2/8;39
2037;VENTA;2023/2/8;17
2039;VENTA;2023/2/8;53
2042;VENTA;2023/2/8;40
2042;VENTA;2023/2/8;38
2042;VENTA;2023/2/8;20
2043;VENTA;2023/2/8;40
2048;VENTA;2023/2/8;1
2049;VENTA;2023/2/8;48
2049;VENTA;2023/2/8;52
2050;VENTA;2023/2/8;16
2051;VENTA;2023/2/8;17
2052;VENTA;2023/2/8;35
2024;VENTA;2023/2/9;45
2024;VENTA;2023/2/9;43
2029;VENTA;2023/2/9;43
2030;VENTA;2023/2/9;37
2031;VENTA;2023/2/9;47
2034;VENTA;2023/2/9;48
2035;VENTA;2023/2/9;15
2042;VENTA;2023/2/9;11
2048;VENTA;2023/2/9;43
2050;VENTA;2023/2/9;5
2050;VENTA;2023/2/9;48
2052;VENTA;2023/2/9;27
2023;VENTA;2023/2/10;36
2035;VENTA;2023/2/10;6
2042;VENTA;2023/2/10;8
2043;VENTA;2023/2/10;6
2044;VENTA;2023/2/10;21
2045;VENTA;2023/2/10;31
2052;VENTA;2023/2/10;54
2025;VENTA;2023/2/11;35
2032;VENTA;2023/2/11;42
2034;VENTA;2023/2/11;50
2037;VENTA;2023/2/11;50
2041;VENTA;2023/2/11;11
2041;VENTA;2023/2/11;29
2042;VENTA;2023/2/11;34
2043;VENTA;2023/2/11;51
2048;VENTA;2023/2/11;12
2049;VENTA;2023/2/11;49
2049;VENTA;2023/2/11;53
2053;VENTA;2023/2/11;30
2053;VENTA;2023/2/11;11
2026;VENTA;2023/2/12;28
2029;VENTA;2023/2/12;50
2029;VENTA;2023/2/12;3
2032;VENTA;2023/2/12;21
2035;VENTA;2023/2/12;2
2037;VENTA;2023/2/12;10
2040;VENTA;2023/2/12;32
2044;VENTA;2023/2/12;33
2045;VENTA;2023/2/12;20
2047;VENTA;2023/2/12;5
2048;VENTA;2023/2/12;17
2021;VENTA;2023/2/13;35
2021;VENTA;2023/2/13;7
2027;VENTA;2023/2/13;28
2033;VENTA;2023/2/13;40
2035;VENTA;2023/2/13;10
2037;VENTA;2023/2/13;10
2043;VENTA;2023/2/13;3
2048;VENTA;2023/2/13;24
2048;VENTA;2023/2/13;32
2050;VENTA;2023/2/13;54
2052;VENTA;2023/2/13;18
2053;VENTA;2023/2/13;25
2021;VENTA;2023/2/14;40
2023;VENTA;2023/2/14;43
2025;VENTA;2023/2/14;26
2047;VENTA;2023/2/14;43
2048;VENTA;2023/2/14;25
2048;VENTA;2023/2/14;31
2051;VENTA;2023/2/14;37
2051;VENTA;2023/2/14;7
2054;VENTA;2023/2/14;43
2054;VENTA;2023/2/14;15
2023;VENTA;2023/2/15;29
2029;VENTA;2023/2/15;31
2030;VENTA;2023/2/15;33
2032;VENTA;2023/2/15;5
2033;VENTA;2023/2/15;37
2036;VENTA;2023/2/15;20
2038;VENTA;2023/2/15;10
2039;VENTA;2023/2/15;28
2042;VENTA;2023/2/15;18
2045;VENTA;2023/2/15;25
2045;VENTA;2023/2/15;7
2047;VENTA;2023/2/15;29
2050;VENTA;2023/2/15;37
2022;VENTA;2023/2/16;1
2023;VENTA;2023/2/16;5
2024;VENTA;2023/2/16;49
2027;VENTA;2023/2/16;3
2034;VENTA;2023/2/16;51
2042;VENTA;2023/2/16;38
2045;VENTA;2023/2/16;52
2050;VENTA;2023/2/16;8
2021;VENTA;2023/2/17;2
2023;VENTA;2023/2/17;43
2024;VENTA;2023/2/17;7
2029;VENTA;2023/2/17;51
2035;VENTA;2023/2/17;42
2035;VENTA;2023/2/17;20
2036;VENTA;2023/2/17;44
2041;VENTA;2023/2/17;43
2043;VENTA;2023/2/17;6
2044;VENTA;2023/2/17;8
2044;VENTA;2023/2/17;30
2048;VENTA;2023/2/17;21
2049;VENTA;2023/2/17;44
2051;VENTA;2023/2/17;40
2053;VENTA;2023/2/17;9
2053;VENTA;2023/2/17;37
2054;VENTA;2023/2/17;11
2027;VENTA;2023/2/18;52
2029;VENTA;2023/2/18;35
2029;VENTA;2023/2/18;52
2033;VENTA;2023/2/18;29
2035;VENTA;2023/2/18;52
2035;VENTA;2023/2/18;15
2041;VENTA;2023/2/18;13
2049;VENTA;2023/2/18;28
2026;VENTA;2023/2/19;17
2026;VENTA;2023/2/19;34
2026;VENTA;2023/2/19;8
2028;VENTA;2023/2/19;48
2030;VENTA;2023/2/19;52
2034;VENTA;2023/2/19;22
2040;VENTA;2023/2/19;15
2042;VENTA;2023/2/19;52
2043;VENTA;2023/2/19;2
2045;VENTA;2023/2/19;4
2046;VENTA;2023/2/19;8
2049;VENTA;2023/2/19;50
2050;VENTA;2023/2/19;52
2022;VENTA;2023/2/20;50
2023;VENTA;2023/2/20;1
2024;VENTA;2023/2/20;30
2025;VENTA;2023/2/20;30
2038;VENTA;2023/2/20;41
2039;VENTA;2023/2/20;13
2022;VENTA;2023/2/21;17
2024;VENTA;2023/2/21;4
2026;VENTA;2023/2/21;52
2029;VENTA;2023/2/21;26
2029;VENTA;2023/2/21;2
2031;VENTA;2023/2/21;21
2031;VENTA;2023/2/21;31
2034;VENTA;2023/2/21;21
2034;VENTA;2023/2/21;48
2035;VENTA;2023/2/21;10
2037;VENTA;2023/2/21;34
2044;VENTA;2023/2/21;49
2045;VENTA;2023/2/21;51
2048;VENTA;2023/2/21;43
2053;VENTA;2023/2/21;35
2021;VENTA;2023/2/22;18
2024;VENTA;2023/2/22;11
2026;VENTA;2023/2/22;3
2028;VENTA;2023/2/22;29
2033;VENTA;2023/2/22;29
2034;VENTA;2023/2/22;17
2038;VENTA;2023/2/22;51
2039;VENTA;2023/2/22;36
2041;VENTA;2023/2/22;33
2044;VENTA;2023/2/22;40
2045;VENTA;2023/2/22;8
2045;VENTA;2023/2/22;38
2045;VENTA;2023/2/22;29
2049;VENTA;2023/2/22;37
2049;VENTA;2023/2/22;12
2052;VENTA;2023/2/22;49
2053;VENTA;2023/2/22;52
2025;VENTA;2023/2/23;39
2025;VENTA;2023/2/23;34
2030;VENTA;2023/2/23;48
2030;VENTA;2023/2/23;27
2030;VENTA;2023/2/23;45
2032;VENTA;2023/2/23;7
2038;VENTA;2023/2/23;35
2047;VENTA;2023/2/23;50
2048;VENTA;2023/2/23;14
2048;VENTA;2023/2/23;6
2052;VENTA;2023/2/23;36
2053;VENTA;2023/2/23;5
2023;VENTA;2023/2/24;7
2027;VENTA;2023/2/24;30
2028;VENTA;2023/2/24;53
2034;VENTA;2023/2/24;19
2044;VENTA;2023/2/24;18
2045;VENTA;2023/2/24;6
2049;VENTA;2023/2/24;48
2050;VENTA;2023/2/24;54
2051;VENTA;2023/2/24;54
2052;VENTA;2023/2/24;40
2021;VENTA;2023/2/25;18
2022;VENTA;2023/2/25;8
2027;VENTA;2023/2/25;33
2028;VENTA;2023/2/25;29
2034;VENTA;2023/2/25;48
2034;VENTA;2023/2/25;23
2040;VENTA;2023/2/25;16
2040;VENTA;2023/2/25;36
2044;VENTA;2023/2/25;19
2050;VENTA;2023/2/25;51
2050;VENTA;2023/2/25;26
2053;VENTA;2023/2/25;22
2054;VENTA;2023/2/25;17
2021;VENTA;2023/2/26;10
2022;VENTA;2023/2/26;37
2022;VENTA;2023/2/26;30
2023;VENTA;2023/2/26;19
2023;VENTA;2023/2/26;53
2025;VENTA;2023/2/26;33
2035;VENTA;2023/2/26;45
2037;VENTA;2023/2/26;4
2041;VENTA;2023/2/26;42
2046;VENTA;2023/2/26;7
2049;VENTA;2023/2/26;16
2050;VENTA;2023/2/26;21
2026;VENTA;2023/2/27;11
2029;VENTA;2023/2/27;44
2036;VENTA;2023/2/27;52
2042;VENTA;2023/2/27;18
2042;VENTA;2023/2/27;14
2043;VENTA;2023/2/27;27
2045;VENTA;2023/2/27;53
2047;VENTA;2023/2/27;15
2050;VENTA;2023/2/27;43
2050;VENTA;2023/2/27;54
2022;VENTA;2023/2/28;37
2023;VENTA;2023/2/28;20
2025;VENTA;2023/2/28;10
2026;VENTA;2023/2/28;50
2032;VENTA;2023/2/28;36
2032;VENTA;2023/2/28;22
2035;VENTA;2023/2/28;20
2035;VENTA;2023/2/28;43
2040;VENTA;2023/2/28;48
2045;VENTA;2023/2/28;1
2048;VENTA;2023/2/28;19
2049;VENTA;2023/2/28;17
2052;VENTA;2023/2/28;27
2053;VENTA;2023/2/28;54
2025;VENTA;2023/3/1;26
2027;VENTA;2023/3/1;53
2031;VENTA;2023/3/1;17
2033;VENTA;2023/3/1;19
2038;VENTA;2023/3/1;26
2039;VENTA;2023/3/1;36
2040;VENTA;2023/3/1;11
2041;VENTA;2023/3/1;34
2042;VENTA;2023/3/1;20
2045;VENTA;2023/3/1;43
2047;VENTA;2023/3/1;21
2048;VENTA;2023/3/1;4
2051;VENTA;2023/3/1;24
2052;VENTA;2023/3/1;4
2054;VENTA;2023/3/1;52
2022;VENTA;2023/3/2;48
2023;VENTA;2023/3/2;47
2035;VENTA;2023/3/2;40
2036;VENTA;2023/3/2;23
2040;VENTA;2023/3/2;33
2044;VENTA;2023/3/2;39
2046;VENTA;2023/3/2;5
2046;VENTA;2023/3/2;48
2047;VENTA;2023/3/2;19
2050;VENTA;2023/3/2;20
2052;VENTA;2023/3/2;5
2054;VENTA;2023/3/2;26
2024;VENTA;2023/3/3;38
2025;VENTA;2023/3/3;51
2027;VENTA;2023/3/3;21
2029;VENTA;2023/3/3;28
2029;VENTA;2023/3/3;11
2031;VENTA;2023/3/3;37
2034;VENTA;2023/3/3;12
2040;VENTA;2023/3/3;18
2045;VENTA;2023/3/3;10
2046;VENTA;2023/3/3;1
2050;VENTA;2023/3/3;10
2051;VENTA;2023/3/3;34
2035;VENTA;2023/3/4;48
2037;VENTA;2023/3/4;45
2041;VENTA;2023/3/4;6
2044;VENTA;2023/3/4;51
2047;VENTA;2023/3/4;30
2049;VENTA;2023/3/4;26
2050;VENTA;2023/3/4;33
2051;VENTA;2023/3/4;21
2053;VENTA;2023/3/4;28
